Aris,App.Name,Region,Geographical.Region,Client.Countries,Bus.Area,Functional.Group,Remedy.Support.Queue,Service.entitlement,App.Size,Average.Monthly.Ticket.Volume.Incidents,Average.Monthly.Ticket.Volume..P1,Average.Monthly.Ticket.Volume.P2,Average.Monthly.Ticket.Volume.P3,Average.Monthly.Ticket.Volume.P4,Average.Monthly.Ticket.Volume.Problems,Average.Monthly.Ticket.Volume.CRs,Approx.Number.of.Users,Application.Complexity,Ease.of.Transition,Platform.OS.Type,Database.Type,Comments,Average.MOnthly.Ticket.Volume.Incidents,App.Score,groups
AP-072,MRS AP-072,Asia Pacific,Asia Pacific,Australia,Material to Inventory,,AP Australia Appl Support,Bronze,large,0.3,NA,NA,NA,0.3,NA,0.1,50,High,,Windows Server,"Access database 2008
",,0.3,0.000201513,1
AP-238,KA REGISTER AP-238,Asia Pacific,Asia Pacific,Australia,Record to Report,,AP Australia Appl Support,Bronze,large,1,NA,NA,NA,1,NA,,15,High,,0,0,,1,0.000201513,2
AP-616,TOLAS LCS (LOCATION CONTROL SYSTEM) AP-616,Asia Pacific,Asia Pacific,Australia,Plan to Cash,Integrated Supply Chain,AP Australia Appl Support,Gold,large,1,NA,NA,NA,1,NA,,1,High,,Windows Server,SQL,,1,1.34E-05,3
EU-1142,MAGASIN BONBONS EU-1142,Europe,Europe,France,Material to Inventory,Integrated Supply Chain,KFE France MTI Manufacturing Appl Support,Bronze,large,1,NA,NA,1,NA,1,,5,High,,Windows Server,,Based on tickets asssigned to queue divided by no of apps in queue,1,6.72E-05,4
EU-1143,SIMATIC IT HALLE EU-1143,Europe,Europe,Belgium,Material to Inventory,Integrated Supply Chain,KFE Benelux MTI Appl Support,Silver,large,1,NA,NA,1,NA,1,,25,High,,Windows Server,N/A,Tickets logged directly with Siemens on portal.  ,1,0.000335854,5
EU-1197,BANDEROLEUSE INTERFACE EU-1197,Europe,Europe,Belgium,Material to Inventory,Integrated Supply Chain,KFE Benelux MTI Appl Support,Silver,large,1,NA,NA,1,NA,1,,10,High,,Windows Server,N/A,Based on tickets asssigned to queue divided by no of apps in queue,1,0.000134342,5
EU-1226,COST TO SERVE EU-1226,Europe,Europe,Italy,Plan to Cash,Integrated Supply Chain,KFE Italy PTC Supply Chain Appl Support,Silver,large,1,NA,NA,1,NA,1,,30,High,,Windows Server,Oracle 9.2.06,Based on tickets asssigned to queue divided by no of apps in queue,1,0.000403025,5
EU-1232,CRP-FLOW EU-1232,Europe,Europe,,Plan to Cash,Integrated Supply Chain,KFE Iberia PTC Supply Chain Appl Support,Bronze,large,1,NA,NA,1,NA,1,,10,High,,Windows Server,Oracle 8,Calculated from avg Bronze apps in region,1,0.000134342,4
EU-1269,FREEWEIGH.NET_UV EU-1269,Europe,Europe,Sweden,Material to Inventory,Integrated Supply Chain,KFE Nordic Manufacturing Appl Support,Bronze,large,1,NA,NA,1,NA,1,,20,High,,Windows Server,SQL Server 10.00.5500.0,Based on Remedy 3 month data,1,0.000268684,4
EU-1308,LINE MONITORING NAMUR EU-1308,Europe,Europe,Belgium,Material to Inventory,Integrated Supply Chain,KFE Benelux MTI Appl Support,Bronze,large,1,NA,NA,1,NA,1,,50,High,,Windows Server,N/A,Based on tickets asssigned to queue divided by no of apps in queue,1,0.000671709,4
EU-1311,LOGISTIC COST CONTROL EU-1311,Europe,Europe,Italy,Plan to Cash,Integrated Supply Chain,KFE Italy PTC Supply Chain Appl Support,Bronze,large,1,NA,NA,1,NA,1,,5,High,,Windows Server,Oracle 10.1 or older 9.2.06,Based on Remedy 3 month data,1,6.72E-05,4
