Ticket #,Type,Open Date,Summary of the Request,Client,Status,Priority,Rank,Res. Assignee,SLA Start,Projected Violation,Change Order,Chg Ord Status,SBM Status,Violation Date,Resource Grp,Client View,Close Date,CS Group,External Ticket,Area,Resolution Code
28187,Incident,8/3/2013 6:47,CJB Order Jobs Failed in Production,"Khokhar, Jaspreet ",Closed,P3,,"Sriram, Saradha ",,,,,,,v11 CBK Launch Team,NO,8/3/2013 9:14,,,v11.Order Processing Related Issues.Order Flow,
28031,Incident,7/31/2013 15:33,Christopher & Banks-No Gift Card Orders Flowing to DC,Sheperdsville,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,7/31/2013 17:32,,,v11.Operations Related Issues.Operations,
27820,Incident,7/29/2013 13:30,DW CJB Order job still running in Production,Christopher and Banks,Closed,P1,,,,,,,,,v11 CBK Launch Team,NO,7/29/2013 20:35,CBK.TAM,,v11.Feeds Related Issues.Fufillment,
27785,Incident,7/29/2013 9:28,GL File From Early June (06/09/13) sent to SAP in Late July,Christopher and Banks,Closed,P3,,,,,,,,,v11 CBK Launch Team,NO,7/29/2013 10:43,CBK.TAM,,v11.Finance Related Issues,
27727,Incident,7/27/2013 9:19,CJB - CJB order job failed on object not found error,Christopher and Banks,Closed,P1,,,,,,,,,v11 CBK Launch Team,YES,7/27/2013 11:49,CBK.TAM,,v11.Order Processing Related Issues.Order Flow,
27669,Incident,7/26/2013 9:57,CBK v11 Outbound Data Warehouse Feeds to True Action will be delivered late,Christopher and Banks,Closed,P2,,,,,,,,,v11 CBK Launch Team,NO,7/26/2013 15:03,CBK.TAM,,v11.Operations Related Issues.Operations,
27450,Request,7/23/2013 19:17,CBK--Issue with Failing ASN Files,Sheperdsville,Closed,P3,,"Felix, Chris ",,,,,,,v11 CBK Launch Team,NO,7/26/2013 13:40,,,v11.Feeds Related Issues.Fufillment,
27376,Incident,7/23/2013 11:46,V11 - CBK/CJB - CSR Webstore and Customer Facing Website - Error at Checkout,CS Clothing,Closed,P3,,"Yang, Jack ",,,,,,,v11 CBK Launch Team,NO,7/31/2013 13:49,Clothing.Client Services Ops,,v11.Call Center Related Issues.CSR Webstore,
27168,Incident,7/19/2013 10:54,CBKNAQA-3668 Webstore is executing a TenderTypeLookupRequest against Payments Service when no tender has been entered into the payments page,Christopher and Banks,Closed,P3,,"Bhatia, Mayank ",8/2/2013 16:13,,,,,,v11 CBK Launch Team,NO,8/2/2013 17:13,CBK.TAM,,v11.Storefront Related Issues.Checkout,
27007,Incident,7/17/2013 6:20,CBK Production Support : CJBUS Order Job Failed,Christopher and Banks,Closed,P1,,,,,,,,,v11 CBK Launch Team,NO,7/18/2013 13:55,CBK.TAM,,v11.Operations Related Issues.Operations,
26949,Incident,7/16/2013 13:19,CBKNAQA-3667 CBK: Promotions detail message links to incorrect promo detail,Central Tools Support User,Closed,P3,,"Boyd, Colin ",7/23/2013 20:08,,,,,,v11 CBK Launch Team,NO,7/25/2013 12:05,CBK.TAM,,v11.Storefront Related Issues.WebStore Display,
